Age,Gender,Location,Profession,Platform,Total Time Spent,Video Category,Video Length,Number of Videos Watched,Frequency,Watch Reason,DeviceType,Watch Time,Self Control,Addiction Level,CurrentActivity
23,Male,Germany,Waiting staff,Facebook,223,ASMR,3,2,Afternoon,Entertainment,Tablet,18:05:00,7,3,Commuting
33,Female,Barzil,driver,Instagram,98,Trends,20,40,Evening,Boredom,Smartphone,15:45:00,8,2,Commuting
46,Female,Indonesia,Students,YouTube,261,Life Hacks,15,14,Evening,Procrastination,Computer,15:45:00,8,2,At school
20,Other,India,Teacher,Facebook,81,Jokes/Memes,5,20,Morning,Habit,Computer,09:15:00,10,0,At home
37,Female,Vietnam,Artist,Facebook,174,Trends,13,25,Night,Habit,Tablet,20:30:00,5,5,At work
53,Male,Germany,Students,TikTok,58,Jokes/Memes,19,42,Evening,Habit,Computer,15:45:00,8,2,At school
36,Female,Germany,Waiting staff,Instagram,61,Jokes/Memes,12,49,Afternoon,Procrastination,Tablet,18:05:00,7,3,Commuting
43,Other,Philippines,Waiting staff,TikTok,298,Life Hacks,23,8,Afternoon,Entertainment,Smartphone,18:05:00,7,3,At work
20,Other,United States,Cashier,YouTube,287,Life Hacks,21,28,Evening,Entertainment,Tablet,15:45:00,8,2,At school
36,Male,Barzil,driver,TikTok,123,Life Hacks,5,46,Night,Procrastination,Smartphone,20:30:00,5,5,At school
37,Female,Germany,driver,TikTok,248,ASMR,6,21,Night,Habit,Smartphone,20:30:00,5,5,At home
49,Male,Barzil,Waiting staff,TikTok,142,Jokes/Memes,7,23,Evening,Procrastination,Smartphone,15:45:00,8,2,At school
24,Male,United States,driver,Instagram,283,Life Hacks,26,32,Night,Habit,Smartphone,20:30:00,5,5,At home
58,Male,Vietnam,Students,YouTube,175,Jokes/Memes,10,8,Morning,Entertainment,Computer,09:15:00,10,0,At home
50,Female,Japan,Students,TikTok,252,Life Hacks,16,31,Evening,Habit,Smartphone,15:45:00,8,2,At home
57,Female,United States,Students,Instagram,147,Jokes/Memes,8,37,Afternoon,Habit,Smartphone,18:05:00,7,3,At school
56,Male,Germany,Labor/Worker,YouTube,88,Trends,9,16,Afternoon,Procrastination,Smartphone,18:05:00,7,3,At work
35,Other,India,Waiting staff,Facebook,179,Gaming,27,40,Afternoon,Entertainment,Smartphone,18:05:00,7,3,At home
57,Female,United States,driver,TikTok,132,Entertainment,4,42,Night,Habit,Smartphone,20:30:00,5,5,At home
18,Female,United States,Engineer,YouTube,185,Comedy,21,27,Evening,Habit,Smartphone,15:45:00,8,2,At work
28,Male,Philippines,driver,TikTok,91,Gaming,21,40,Afternoon,Habit,Smartphone,18:05:00,7,3,At work
45,Female,Indonesia,Waiting staff,Facebook,96,Pranks,8,41,Afternoon,Procrastination,Tablet,18:05:00,7,3,At work
42,Female,India,Labor/Worker,YouTube,234,Vlogs,25,18,Afternoon,Habit,Smartphone,18:05:00,7,3,Commuting
40,Male,India,Engineer,Instagram,25,Life Hacks,7,35,Night,Procrastination,Smartphone,20:30:00,5,5,At home
48,Male,Philippines,Engineer,YouTube,172,Life Hacks,15,49,Evening,Boredom,Smartphone,15:45:00,8,2,Commuting
47,Male,United States,Labor/Worker,Instagram,107,ASMR,21,15,Evening,Habit,Smartphone,15:45:00,8,2,At school
59,Male,United States,Waiting staff,YouTube,165,Pranks,3,27,Evening,Boredom,Smartphone,15:45:00,8,2,At work
52,Male,United States,Artist,Instagram,11,Entertainment,17,17,Evening,Habit,Smartphone,15:45:00,8,2,At school
24,Male,Germany,Students,Facebook,178,Pranks,11,40,Morning,Boredom,Smartphone,09:15:00,10,0,At work
33,Other,Philippines,driver,Facebook,101,Life Hacks,9,2,Evening,Entertainment,Smartphone,15:45:00,8,2,At school
43,Male,Vietnam,Labor/Worker,Facebook,190,Entertainment,5,49,Morning,Entertainment,Tablet,09:15:00,10,0,At school
19,Male,India,Students,YouTube,240,Vlogs,25,31,Night,Procrastination,Computer,20:30:00,5,5,At work
18,Male,Mexico,driver,Facebook,157,Pranks,10,37,Afternoon,Habit,Tablet,18:05:00,7,3,Commuting
29,Male,Pakistan,driver,TikTok,289,Jokes/Memes,15,41,Evening,Habit,Smartphone,15:45:00,8,2,At home
22,Male,United States,Artist,Facebook,198,Vlogs,28,41,Night,Habit,Tablet,20:30:00,5,5,At school
54,Female,India,Waiting staff,Instagram,137,Pranks,29,34,Night,Habit,Smartphone,20:30:00,5,5,At school
49,Female,India,driver,Instagram,16,Comedy,14,34,Evening,Boredom,Smartphone,15:45:00,8,2,At home
26,Male,India,Labor/Worker,Instagram,56,ASMR,4,3,Afternoon,Entertainment,Smartphone,18:05:00,7,3,At work
58,Other,Philippines,driver,YouTube,62,Gaming,21,17,Afternoon,Habit,Tablet,18:05:00,7,3,At home
52,Other,United States,Waiting staff,TikTok,196,Pranks,20,14,Evening,Boredom,Tablet,15:45:00,8,2,At home
36,Male,Pakistan,Waiting staff,Facebook,47,Comedy,2,14,Evening,Entertainment,Computer,15:45:00,8,2,At work
33,Female,Japan,Labor/Worker,TikTok,235,Jokes/Memes,12,46,Evening,Entertainment,Tablet,15:45:00,8,2,Commuting
20,Female,Germany,driver,TikTok,62,Pranks,1,38,Night,Entertainment,Smartphone,20:30:00,5,5,At school
37,Male,Barzil,Engineer,Instagram,233,Trends,24,35,Night,Entertainment,Smartphone,20:30:00,5,5,At home
41,Other,Vietnam,Labor/Worker,Instagram,163,Vlogs,20,1,Afternoon,Entertainment,Tablet,18:05:00,7,3,Commuting
50,Male,Pakistan,Teacher,Instagram,57,Gaming,5,48,Night,Habit,Tablet,20:30:00,5,5,At home
41,Other,Barzil,Cashier,YouTube,156,Vlogs,6,29,Evening,Habit,Tablet,15:45:00,8,2,At work
28,Female,Philippines,Waiting staff,TikTok,73,Pranks,24,4,Morning,Boredom,Smartphone,09:15:00,10,0,At home
25,Female,Barzil,Students,TikTok,191,Vlogs,11,33,Evening,Boredom,Tablet,15:45:00,8,2,At work
53,Male,Mexico,Teacher,YouTube,134,Gaming,8,17,Evening,Procrastination,Computer,15:45:00,8,2,At home
55,Male,India,Labor/Worker,YouTube,188,Trends,7,28,Evening,Boredom,Smartphone,15:45:00,8,2,Commuting
57,Male,Pakistan,Students,YouTube,48,Entertainment,4,26,Afternoon,Habit,Computer,18:05:00,7,3,At work
37,Male,Philippines,Waiting staff,TikTok,269,Vlogs,6,8,Evening,Entertainment,Smartphone,15:45:00,8,2,At home
52,Male,Pakistan,Students,TikTok,12,Vlogs,16,34,Evening,Habit,Smartphone,15:45:00,8,2,At school
42,Female,Mexico,Waiting staff,Instagram,73,Jokes/Memes,20,18,Night,Procrastination,Smartphone,20:30:00,5,5,At home
52,Male,United States,Students,Instagram,38,Pranks,15,31,Night,Habit,Computer,20:30:00,5,5,At work
42,Female,United States,Labor/Worker,TikTok,20,Life Hacks,14,27,Afternoon,Entertainment,Tablet,18:05:00,7,3,Commuting
46,Female,United States,Teacher,Instagram,106,ASMR,23,16,Evening,Habit,Computer,15:45:00,8,2,At home
35,Female,Indonesia,Labor/Worker,YouTube,212,Jokes/Memes,12,10,Night,Entertainment,Smartphone,20:30:00,5,5,At work
63,Male,Barzil,Waiting staff,Facebook,30,Trends,29,40,Evening,Habit,Smartphone,15:45:00,8,2,At home
35,Male,Indonesia,Students,Instagram,48,Jokes/Memes,12,12,Evening,Boredom,Smartphone,15:45:00,8,2,At school
19,Female,India,Waiting staff,TikTok,232,Jokes/Memes,16,22,Afternoon,Habit,Smartphone,18:05:00,7,3,At work
52,Male,Vietnam,Labor/Worker,Instagram,111,Life Hacks,15,16,Afternoon,Habit,Computer,18:05:00,7,3,At school
33,Female,Mexico,Engineer,Instagram,55,Life Hacks,29,12,Night,Entertainment,Tablet,20:30:00,5,5,At school
58,Female,Philippines,Engineer,Instagram,75,Trends,13,11,Evening,Boredom,Tablet,15:45:00,8,2,Commuting
53,Male,Pakistan,Waiting staff,Facebook,100,Pranks,11,20,Morning,Boredom,Tablet,09:15:00,10,0,At work
50,Female,Germany,Students,YouTube,173,Entertainment,17,1,Afternoon,Habit,Smartphone,18:05:00,7,3,Commuting
21,Female,Philippines,Waiting staff,TikTok,120,Vlogs,21,27,Afternoon,Entertainment,Smartphone,18:05:00,7,3,At home
50,Male,Barzil,Engineer,Facebook,132,Vlogs,15,3,Afternoon,Habit,Smartphone,18:05:00,7,3,At home
31,Male,Indonesia,Cashier,TikTok,202,Jokes/Memes,14,12,Afternoon,Boredom,Computer,18:05:00,7,3,At school
38,Other,Indonesia,Waiting staff,TikTok,108,Gaming,10,30,Evening,Boredom,Smartphone,15:45:00,8,2,At home
37,Other,United States,Artist,TikTok,168,Jokes/Memes,12,9,Evening,Boredom,Smartphone,15:45:00,8,2,At work
25,Male,Indonesia,Waiting staff,Facebook,112,Life Hacks,16,37,Night,Habit,Computer,20:30:00,5,5,At school
24,Female,Vietnam,driver,YouTube,290,Entertainment,15,1,Evening,Habit,Smartphone,15:45:00,8,2,At work
20,Male,Japan,Students,TikTok,52,Trends,10,42,Morning,Entertainment,Smartphone,09:15:00,10,0,At home
34,Female,Pakistan,Engineer,YouTube,93,Jokes/Memes,4,49,Afternoon,Habit,Computer,18:05:00,7,3,At work
50,Male,Japan,Manager,YouTube,200,Jokes/Memes,27,4,Morning,Entertainment,Smartphone,09:15:00,10,0,At home
29,Female,Pakistan,driver,Instagram,60,Trends,23,15,Night,Habit,Smartphone,20:30:00,5,5,At school
39,Female,Mexico,Manager,Facebook,219,Trends,29,27,Night,Habit,Smartphone,20:30:00,5,5,At work
39,Other,Pakistan,Students,Facebook,135,Jokes/Memes,9,8,Night,Habit,Smartphone,20:30:00,5,5,At home
63,Female,Japan,Waiting staff,Instagram,78,Jokes/Memes,21,23,Evening,Boredom,Computer,15:45:00,8,2,At school
47,Male,Philippines,Engineer,Instagram,274,Entertainment,20,15,Night,Procrastination,Smartphone,20:30:00,5,5,At home
55,Female,Pakistan,Teacher,YouTube,267,Gaming,9,27,Night,Entertainment,Computer,20:30:00,5,5,At work
55,Other,Mexico,driver,TikTok,197,Jokes/Memes,21,31,Afternoon,Boredom,Smartphone,18:05:00,7,3,At school
62,Male,Mexico,Students,Facebook,239,Entertainment,25,39,Night,Habit,Smartphone,20:30:00,5,5,At work
25,Other,India,Waiting staff,TikTok,198,Entertainment,24,47,Afternoon,Boredom,Smartphone,18:05:00,7,3,At work
44,Male,Pakistan,driver,TikTok,19,Entertainment,20,8,Afternoon,Entertainment,Smartphone,18:05:00,7,3,At school
44,Female,Germany,Students,Instagram,123,Life Hacks,11,30,Morning,Entertainment,Smartphone,09:15:00,10,0,At school
51,Male,United States,Engineer,TikTok,85,Gaming,11,42,Afternoon,Entertainment,Tablet,18:05:00,7,3,At home
38,Male,United States,Artist,YouTube,173,Comedy,7,18,Evening,Habit,Smartphone,15:45:00,8,2,Commuting
47,Other,India,driver,Instagram,94,Trends,21,4,Evening,Habit,Smartphone,15:45:00,8,2,Commuting
50,Male,Mexico,Manager,TikTok,58,ASMR,10,47,Afternoon,Entertainment,Smartphone,18:05:00,7,3,At school
45,Female,India,Manager,Instagram,186,Gaming,4,43,Night,Habit,Computer,20:30:00,5,5,At work
64,Male,United States,Students,YouTube,227,Gaming,5,22,Night,Entertainment,Tablet,20:30:00,5,5,At school
50,Male,Vietnam,Manager,YouTube,198,ASMR,5,3,Afternoon,Boredom,Smartphone,18:05:00,7,3,Commuting
22,Male,Barzil,Students,TikTok,239,Gaming,11,15,Night,Habit,Smartphone,20:30:00,5,5,At home
36,Other,Pakistan,Students,Instagram,264,Jokes/Memes,9,35,Afternoon,Habit,Tablet,18:05:00,7,3,At work
21,Other,Japan,driver,TikTok,245,Jokes/Memes,28,47,Afternoon,Entertainment,Smartphone,18:05:00,7,3,At school
52,Male,India,Waiting staff,TikTok,35,Life Hacks,16,38,Afternoon,Entertainment,Tablet,18:05:00,7,3,At work
34,Other,India,Students,Instagram,81,Vlogs,9,33,Afternoon,Habit,Smartphone,18:05:00,7,3,At work
61,Female,United States,Waiting staff,TikTok,270,ASMR,22,14,Evening,Entertainment,Smartphone,15:45:00,8,2,At school
45,Female,Pakistan,driver,YouTube,263,ASMR,4,48,Night,Boredom,Smartphone,20:30:00,5,5,At work
47,Female,India,Teacher,Instagram,280,Trends,2,1,Afternoon,Boredom,Tablet,18:05:00,7,3,Commuting
46,Male,Barzil,Students,Instagram,132,ASMR,14,49,Night,Procrastination,Tablet,20:30:00,5,5,At school
63,Male,India,Labor/Worker,Instagram,153,Gaming,3,26,Evening,Entertainment,Tablet,15:45:00,8,2,At home
23,Female,United States,Students,Instagram,266,Life Hacks,18,8,Night,Boredom,Smartphone,20:30:00,5,5,At home
52,Male,India,Labor/Worker,TikTok,153,Gaming,21,16,Evening,Habit,Smartphone,15:45:00,8,2,At school
58,Male,India,Engineer,TikTok,268,Life Hacks,6,38,Morning,Boredom,Computer,09:15:00,10,0,At school
54,Other,Vietnam,Students,YouTube,56,Entertainment,11,10,Morning,Entertainment,Tablet,09:15:00,10,0,At school
41,Female,India,Cashier,Facebook,22,ASMR,21,42,Morning,Habit,Computer,09:15:00,10,0,Commuting
46,Male,India,driver,Facebook,217,Vlogs,18,37,Evening,Entertainment,Smartphone,15:45:00,8,2,At school
63,Female,Barzil,Labor/Worker,YouTube,244,Entertainment,12,26,Evening,Boredom,Smartphone,15:45:00,8,2,At school
48,Female,United States,Engineer,Facebook,158,ASMR,5,28,Night,Boredom,Computer,20:30:00,5,5,At home
52,Male,India,Students,YouTube,164,Life Hacks,9,12,Evening,Habit,Smartphone,15:45:00,8,2,At school
50,Other,Indonesia,Waiting staff,TikTok,175,Comedy,20,20,Evening,Boredom,Tablet,15:45:00,8,2,At school
38,Female,United States,Engineer,Instagram,99,Life Hacks,28,49,Morning,Boredom,Smartphone,09:15:00,10,0,At work
49,Male,India,Labor/Worker,Instagram,195,Life Hacks,26,14,Night,Entertainment,Smartphone,20:30:00,5,5,At school
40,Male,Vietnam,driver,TikTok,183,Comedy,18,46,Morning,Habit,Tablet,09:15:00,10,0,At home
50,Male,Barzil,Students,Instagram,226,Entertainment,19,35,Evening,Habit,Smartphone,15:45:00,8,2,At home
20,Other,Germany,Manager,Instagram,273,Jokes/Memes,3,29,Afternoon,Habit,Tablet,18:05:00,7,3,At work
35,Female,Pakistan,Waiting staff,Facebook,106,Trends,9,12,Night,Habit,Computer,20:30:00,5,5,At work
42,Female,Japan,Teacher,TikTok,126,Trends,4,18,Night,Boredom,Smartphone,20:30:00,5,5,At school
59,Male,Philippines,Labor/Worker,Facebook,208,Jokes/Memes,17,44,Night,Boredom,Smartphone,20:30:00,5,5,At home
48,Female,Philippines,Labor/Worker,Facebook,30,Entertainment,17,2,Evening,Entertainment,Smartphone,15:45:00,8,2,At home
20,Other,Japan,Waiting staff,Instagram,209,Pranks,23,2,Morning,Habit,Smartphone,09:15:00,10,0,At home
57,Male,Japan,Labor/Worker,Instagram,257,Trends,23,17,Night,Entertainment,Tablet,20:30:00,5,5,At home
63,Male,India,Waiting staff,TikTok,285,Jokes/Memes,2,10,Evening,Boredom,Computer,15:45:00,8,2,At school
41,Male,India,Students,Instagram,273,Jokes/Memes,9,18,Evening,Habit,Smartphone,15:45:00,8,2,At home
49,Other,Barzil,Students,Instagram,67,Trends,9,22,Afternoon,Entertainment,Tablet,18:05:00,7,3,At work
64,Male,United States,Cashier,TikTok,40,Jokes/Memes,5,19,Evening,Procrastination,Smartphone,15:45:00,8,2,At home
39,Female,India,Teacher,Instagram,258,Jokes/Memes,15,1,Morning,Entertainment,Smartphone,09:15:00,10,0,At school
40,Female,India,Engineer,Facebook,102,Trends,15,24,Evening,Boredom,Smartphone,15:45:00,8,2,At work
19,Male,Pakistan,Cashier,TikTok,274,Entertainment,3,36,Afternoon,Boredom,Smartphone,18:05:00,7,3,At work
44,Male,Indonesia,Students,Instagram,280,Gaming,19,25,Night,Procrastination,Tablet,20:30:00,5,5,At home
59,Male,Philippines,Students,YouTube,103,Jokes/Memes,28,36,Night,Boredom,Smartphone,20:30:00,5,5,At school
19,Female,Barzil,Students,TikTok,163,Jokes/Memes,3,31,Night,Habit,Smartphone,20:30:00,5,5,Commuting
43,Male,Japan,Labor/Worker,TikTok,294,Gaming,6,31,Evening,Entertainment,Tablet,15:45:00,8,2,At work
34,Male,India,driver,YouTube,89,Gaming,4,2,Evening,Entertainment,Smartphone,15:45:00,8,2,At home
57,Female,Germany,Labor/Worker,Instagram,93,Life Hacks,24,19,Afternoon,Habit,Tablet,18:05:00,7,3,At home
50,Male,Barzil,Students,Instagram,46,Entertainment,13,12,Evening,Boredom,Computer,15:45:00,8,2,Commuting
26,Female,Mexico,Waiting staff,TikTok,241,Pranks,27,10,Morning,Habit,Tablet,09:15:00,10,0,At home
60,Other,Vietnam,Teacher,TikTok,102,Gaming,13,31,Night,Boredom,Smartphone,20:30:00,5,5,At school
56,Female,India,Waiting staff,Instagram,111,Jokes/Memes,27,45,Morning,Entertainment,Smartphone,09:15:00,10,0,At work
46,Other,United States,Labor/Worker,Instagram,175,Pranks,11,22,Afternoon,Entertainment,Smartphone,18:05:00,7,3,At school
59,Female,Pakistan,Students,Facebook,168,Pranks,5,23,Night,Habit,Tablet,20:30:00,5,5,At school
43,Female,Indonesia,driver,TikTok,23,Jokes/Memes,1,23,Morning,Habit,Smartphone,09:15:00,10,0,At school
52,Other,Pakistan,Waiting staff,TikTok,234,Jokes/Memes,9,15,Afternoon,Habit,Tablet,18:05:00,7,3,At school
42,Male,Barzil,Students,YouTube,82,Gaming,17,26,Evening,Habit,Computer,15:45:00,8,2,At home
41,Male,Philippines,Labor/Worker,Facebook,258,Gaming,22,3,Evening,Entertainment,Tablet,15:45:00,8,2,At work
30,Male,United States,Labor/Worker,Instagram,100,Jokes/Memes,1,23,Evening,Habit,Tablet,15:45:00,8,2,At work
24,Male,Mexico,Students,Facebook,225,ASMR,3,20,Afternoon,Habit,Smartphone,18:05:00,7,3,At home
53,Female,United States,Students,Instagram,99,ASMR,15,45,Afternoon,Entertainment,Tablet,18:05:00,7,3,At work
62,Male,India,Students,Instagram,38,Trends,26,40,Evening,Entertainment,Smartphone,15:45:00,8,2,At school
37,Female,United States,driver,Facebook,229,Life Hacks,21,39,Night,Habit,Smartphone,20:30:00,5,5,At home
18,Male,India,Students,TikTok,224,Entertainment,26,8,Night,Boredom,Smartphone,20:30:00,5,5,At home
25,Male,Japan,Manager,Instagram,230,Gaming,23,18,Night,Procrastination,Smartphone,20:30:00,5,5,At work
63,Male,Mexico,Labor/Worker,Facebook,51,ASMR,10,41,Night,Procrastination,Tablet,20:30:00,5,5,At school
33,Male,India,Labor/Worker,YouTube,144,Life Hacks,8,6,Evening,Habit,Computer,15:45:00,8,2,At work
31,Female,Germany,Labor/Worker,Facebook,51,Pranks,12,27,Evening,Boredom,Tablet,15:45:00,8,2,At home
29,Male,Indonesia,Labor/Worker,YouTube,173,Jokes/Memes,25,36,Night,Boredom,Smartphone,20:30:00,5,5,At home
40,Male,Japan,Students,Instagram,292,Vlogs,22,15,Evening,Boredom,Computer,15:45:00,8,2,Commuting
32,Male,Barzil,Manager,Facebook,67,Jokes/Memes,15,37,Night,Habit,Computer,20:30:00,5,5,At home
45,Other,United States,driver,Facebook,34,Pranks,27,5,Evening,Boredom,Smartphone,15:45:00,8,2,At home
51,Female,Philippines,Waiting staff,YouTube,82,Life Hacks,9,39,Night,Habit,Smartphone,20:30:00,5,5,At home
19,Other,India,Labor/Worker,Facebook,138,Entertainment,24,9,Night,Habit,Tablet,20:30:00,5,5,At home
49,Other,Vietnam,Waiting staff,Facebook,96,Vlogs,25,7,Morning,Habit,Computer,09:15:00,10,0,At home
40,Male,India,Labor/Worker,Instagram,162,Gaming,10,41,Morning,Habit,Tablet,07:45:00,10,0,At home
39,Male,Vietnam,Students,Facebook,191,Vlogs,20,20,Afternoon,Procrastination,Computer,19:25:00,7,3,At home
42,Female,United States,driver,TikTok,134,Life Hacks,9,10,Afternoon,Boredom,Smartphone,19:25:00,7,3,At work
39,Female,Vietnam,Students,YouTube,76,Gaming,15,26,Afternoon,Boredom,Smartphone,19:25:00,7,3,At school
39,Female,Germany,Engineer,Facebook,15,Vlogs,23,4,Afternoon,Procrastination,Smartphone,19:25:00,7,3,At home
59,Male,United States,Students,YouTube,134,Entertainment,21,38,Evening,Boredom,Tablet,15:55:00,8,2,At home
23,Male,Mexico,Engineer,YouTube,62,Pranks,21,24,Morning,Boredom,Tablet,07:45:00,10,0,At school
32,Female,Indonesia,driver,YouTube,75,Life Hacks,1,14,Evening,Procrastination,Tablet,15:55:00,8,2,At home
60,Male,Mexico,Cashier,Facebook,91,Entertainment,2,41,Night,Habit,Computer,23:30:00,5,5,At work
54,Male,India,driver,Facebook,96,Entertainment,26,1,Evening,Boredom,Smartphone,15:55:00,8,2,At work
50,Other,India,Engineer,YouTube,11,Jokes/Memes,19,17,Night,Procrastination,Tablet,23:30:00,5,5,At work
25,Male,Indonesia,Waiting staff,TikTok,213,Jokes/Memes,14,45,Night,Habit,Computer,23:30:00,5,5,At home
61,Male,Vietnam,Students,YouTube,159,Vlogs,8,24,Morning,Entertainment,Smartphone,07:45:00,10,0,At home
61,Male,Philippines,Waiting staff,TikTok,112,Trends,6,27,Afternoon,Entertainment,Smartphone,19:25:00,7,3,At work
22,Female,Pakistan,Students,YouTube,33,ASMR,12,7,Evening,Habit,Smartphone,15:55:00,8,2,At home
56,Male,India,Waiting staff,Instagram,221,Gaming,26,9,Morning,Boredom,Tablet,07:45:00,10,0,At school
21,Female,Indonesia,Manager,YouTube,74,ASMR,27,43,Night,Boredom,Smartphone,23:30:00,5,5,Commuting
23,Female,Indonesia,Students,YouTube,218,ASMR,29,35,Evening,Habit,Smartphone,15:55:00,8,2,At school
62,Male,India,Teacher,Facebook,260,Jokes/Memes,15,12,Afternoon,Boredom,Smartphone,19:25:00,7,3,Commuting
49,Male,Barzil,Labor/Worker,TikTok,126,Life Hacks,14,21,Night,Habit,Smartphone,23:30:00,5,5,Commuting
47,Male,Vietnam,Students,Instagram,125,Vlogs,21,3,Morning,Habit,Smartphone,07:45:00,10,0,At school
64,Male,India,Students,TikTok,246,Entertainment,29,15,Evening,Boredom,Smartphone,15:55:00,8,2,At school
52,Male,Indonesia,Engineer,Instagram,114,Gaming,1,21,Morning,Boredom,Tablet,07:45:00,10,0,Commuting
57,Male,India,Waiting staff,YouTube,268,Pranks,28,10,Night,Entertainment,Tablet,23:30:00,5,5,At home
33,Male,India,Waiting staff,Facebook,55,Jokes/Memes,11,33,Evening,Procrastination,Smartphone,15:55:00,8,2,At work
30,Male,India,Waiting staff,Facebook,225,Comedy,28,46,Evening,Habit,Smartphone,15:55:00,8,2,At work
59,Female,Barzil,Artist,TikTok,33,Pranks,25,6,Night,Boredom,Smartphone,23:30:00,5,5,At school
47,Male,United States,Waiting staff,Facebook,44,ASMR,3,2,Evening,Habit,Computer,15:55:00,8,2,At home
36,Male,Mexico,Engineer,TikTok,33,Trends,19,29,Evening,Entertainment,Smartphone,15:55:00,8,2,Commuting
34,Male,Indonesia,Teacher,TikTok,37,Vlogs,18,40,Evening,Boredom,Computer,15:55:00,8,2,At work
36,Female,Vietnam,Artist,Instagram,25,Pranks,20,33,Evening,Habit,Smartphone,15:55:00,8,2,At work
45,Male,Pakistan,Labor/Worker,TikTok,68,Trends,28,4,Night,Boredom,Smartphone,23:30:00,5,5,At home
43,Female,United States,Students,Instagram,252,Comedy,2,4,Evening,Boredom,Smartphone,15:55:00,8,2,At home
54,Female,United States,Waiting staff,Facebook,216,Gaming,29,29,Afternoon,Habit,Smartphone,19:25:00,7,3,At work
43,Male,Philippines,Students,TikTok,280,Comedy,25,37,Night,Entertainment,Tablet,23:30:00,5,5,At work
40,Other,Philippines,Engineer,TikTok,258,Life Hacks,28,20,Evening,Habit,Smartphone,15:55:00,8,2,At home
26,Other,Japan,Students,YouTube,276,Vlogs,26,41,Morning,Boredom,Tablet,07:45:00,10,0,At home
29,Female,Barzil,Labor/Worker,TikTok,202,Trends,7,23,Night,Boredom,Smartphone,23:30:00,5,5,At school
18,Female,Pakistan,Students,TikTok,227,Pranks,8,45,Afternoon,Entertainment,Tablet,19:25:00,8,2,At school
18,Male,Japan,Students,YouTube,124,ASMR,19,18,Evening,Habit,Smartphone,15:55:00,9,1,At work
64,Male,Barzil,Cashier,YouTube,77,Jokes/Memes,22,49,Night,Entertainment,Smartphone,23:30:00,4,6,At school
51,Female,Vietnam,Cashier,Facebook,84,Entertainment,15,25,Night,Entertainment,Smartphone,23:30:00,4,6,At work
49,Male,India,Labor/Worker,TikTok,112,Vlogs,10,1,Evening,Boredom,Smartphone,15:55:00,9,1,At school
42,Male,Vietnam,driver,Facebook,187,Pranks,22,15,Morning,Habit,Smartphone,07:45:00,10,0,At work
57,Male,Mexico,Manager,Facebook,224,Life Hacks,29,34,Evening,Boredom,Smartphone,15:55:00,9,1,At school
62,Male,United States,Students,YouTube,48,Life Hacks,1,48,Evening,Boredom,Tablet,15:55:00,9,1,At school
18,Male,India,Waiting staff,Instagram,268,Life Hacks,6,20,Night,Entertainment,Smartphone,23:30:00,4,6,At work
33,Female,Philippines,Labor/Worker,Facebook,213,Gaming,13,37,Morning,Entertainment,Smartphone,07:45:00,10,0,At home
56,Male,Barzil,Engineer,Instagram,16,Vlogs,14,27,Evening,Boredom,Smartphone,15:55:00,9,1,Commuting
22,Male,Vietnam,Labor/Worker,TikTok,58,Trends,3,22,Night,Boredom,Tablet,23:30:00,4,6,At school
39,Female,India,driver,YouTube,35,Entertainment,11,5,Evening,Boredom,Smartphone,15:55:00,9,1,At home
46,Other,Mexico,driver,TikTok,170,Jokes/Memes,3,34,Afternoon,Habit,Smartphone,19:25:00,8,2,At school
20,Male,Indonesia,Waiting staff,TikTok,185,Entertainment,19,39,Evening,Boredom,Smartphone,15:55:00,9,1,At work
29,Male,United States,driver,YouTube,88,Entertainment,10,3,Evening,Entertainment,Computer,15:55:00,9,1,At work
43,Male,United States,Manager,TikTok,11,Vlogs,27,17,Evening,Boredom,Tablet,15:55:00,9,1,At home
33,Male,Mexico,driver,YouTube,141,Entertainment,15,24,Night,Entertainment,Smartphone,23:30:00,4,6,At home
54,Other,Mexico,Labor/Worker,Instagram,285,Trends,11,24,Afternoon,Entertainment,Tablet,19:25:00,8,2,Commuting
39,Other,Vietnam,Labor/Worker,TikTok,126,Jokes/Memes,15,3,Evening,Boredom,Smartphone,15:55:00,9,1,At school
46,Male,India,Waiting staff,YouTube,173,Trends,26,45,Evening,Entertainment,Tablet,15:55:00,9,1,At home
31,Female,Japan,Manager,Facebook,297,Vlogs,27,7,Afternoon,Boredom,Tablet,19:25:00,8,2,At work
45,Male,United States,Students,TikTok,37,Entertainment,24,25,Afternoon,Habit,Tablet,19:25:00,8,2,At work
22,Female,United States,Labor/Worker,Instagram,10,Vlogs,13,3,Afternoon,Procrastination,Tablet,19:25:00,8,2,At home
64,Male,Indonesia,Labor/Worker,YouTube,197,Life Hacks,5,15,Afternoon,Boredom,Smartphone,19:25:00,8,2,At home
47,Female,Indonesia,Labor/Worker,TikTok,65,Jokes/Memes,4,29,Morning,Procrastination,Tablet,07:45:00,10,0,At home
63,Male,India,Engineer,TikTok,44,Life Hacks,13,29,Afternoon,Entertainment,Smartphone,19:25:00,8,2,At work
22,Male,Mexico,Labor/Worker,TikTok,121,Jokes/Memes,9,10,Night,Habit,Tablet,23:30:00,4,6,At work
29,Female,Barzil,Waiting staff,Instagram,295,ASMR,25,32,Evening,Habit,Smartphone,15:55:00,9,1,At home
33,Female,India,driver,YouTube,45,Trends,17,23,Afternoon,Entertainment,Smartphone,19:25:00,8,2,Commuting
